policy_name,model_id,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,improvement_vs_pyfrbus_baseline_pct,improvement_vs_pyfrbus_baseline_revealed_pct,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,solver_status,improvement_vs_US_SW07_baseline_pct,improvement_vs_US_SW07_baseline_revealed_pct,improvement_vs_US_CCTW10_baseline_pct,improvement_vs_US_CCTW10_baseline_revealed_pct,improvement_vs_US_KS15_baseline_pct,improvement_vs_US_KS15_baseline_revealed_pct,improvement_vs_NK_CW09_baseline_pct,improvement_vs_NK_CW09_baseline_revealed_pct
empirical_taylor_rule,US_SW07,18015.1404707723,222.12272054284398,25916.350744727464,294.78930457676273,220.8529741546101,1.819250402625157,3.6012118692130177,5.97975152252025,12.600482837755228,,,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,ok,-1175.5331813676803,-476.43414020653904,,,,,,
ppo_svar_direct_nonlinear,US_SW07,inf,inf,inf,inf,,,,,,,,svar_direct,1.2466380078827537,0.5074466029259089,-0.1057424658280237,failed,-inf,-inf,,,,,,
ppo_svar_direct,US_SW07,inf,inf,inf,inf,,,,,,,,svar_direct,0.2523981567815053,0.1503624057740744,0.2816566566409654,failed,-inf,-inf,,,,,,
ppo_ann_direct,US_SW07,inf,inf,inf,inf,,,,,,,,ann_direct,-0.959321270308328,0.5472183921980825,0.1080788892883044,failed,-inf,-inf,,,,,,
td3_ann_direct,US_SW07,inf,inf,inf,inf,,,,,,,,ann_direct,-1.082625149309122,0.967378900239466,0.4305887562735639,failed,-inf,-inf,,,,,,
ppo_ann_direct_nonlinear,US_SW07,inf,inf,inf,inf,,,,,,,,ann_direct,0.5999405734711161,0.5990150366658124,0.0491231228283324,failed,-inf,-inf,,,,,,
sac_ann_direct,US_SW07,inf,inf,inf,inf,,,,,,,,ann_direct,-1.2027775887160563,1.1252890386703684,0.5284178823189376,failed,-inf,-inf,,,,,,
ppo_svar_revealed_direct,US_SW07,inf,inf,inf,inf,,,,,,,,svar_revealed_direct,-0.3360201548057305,0.1772042694405999,0.6133699482182594,failed,-inf,-inf,,,,,,
ppo_svar_revealed_direct_nonlinear,US_SW07,inf,inf,inf,inf,,,,,,,,svar_revealed_direct,0.0010851984364717,-0.0017277002714858,-0.000798077192071,failed,-inf,-inf,,,,,,
ppo_benchmark_transfer,US_SW07,inf,inf,inf,inf,,,,,,,,benchmark_transfer,0.4809672945737837,0.4771268858015537,0.2629074889123439,failed,-inf,-inf,,,,,,
td3_svar_revealed_direct,US_SW07,inf,inf,inf,inf,,,,,,,,svar_revealed_direct,-0.0025121497772024,-0.148786795047988,0.9477881731460192,failed,-inf,-inf,,,,,,
ppo_ann_revealed_direct,US_SW07,inf,inf,inf,inf,,,,,,,,ann_revealed_direct,0.5368597997803236,-0.250778224863415,0.5585725617360908,failed,-inf,-inf,,,,,,
td3_ann_revealed_direct,US_SW07,inf,inf,inf,inf,,,,,,,,ann_revealed_direct,-0.1511408135492509,0.1472029439613109,0.8871354255725383,failed,-inf,-inf,,,,,,
ppo_ann_revealed_direct_nonlinear,US_SW07,inf,inf,inf,inf,,,,,,,,ann_revealed_direct,7.518658540344514e-06,-5.233386810579525e-06,3.127369152992458e-06,failed,-inf,-inf,,,,,,
sac_ann_revealed_direct,US_SW07,inf,inf,inf,inf,,,,,,,,ann_revealed_direct,-0.1426743048464857,0.092528694534162,0.9683648999693326,failed,-inf,-inf,,,,,,
td3_svar_direct,US_CCTW10,1.4485400566952523e-29,1.4485400594222498e-31,2.177994831046678e-29,2.1779948351469347e-31,4.930380657631324e-32,1.9110039873182348e-31,0.0,3.122502256758253e-16,0.0,,,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,ok,,,97.88224031310602,96.8274505112702,,,,
