policy_name,model_id,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,parent_policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,converged,iterations,clip_rate,max_fixed_point_gap
empirical_taylor_rule_int_+0p25,pyfrbus,12.357656464482915,0.5934002981090555,0.010115165637584229,1.1635397664725868,0.015152492351777397,3.424119108554791,0.4064553155564458,empirical_taylor_rule,0.4665731284960799,0.1931728114825275,0.2657685748665041,0.8691997672478173,True,14,0.0,0.0
sac_svar_revealed_direct_output_gap_x1p30,pyfrbus,12.790426089796515,0.6353094071012614,0.009249272321247403,1.2514758808496536,0.00322194355187273,3.591566963010441,0.17318097059557616,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.06626755643070316,0.9307229868470568,True,10,0.0,0.0
sac_svar_revealed_direct_output_gap_x1p15,pyfrbus,13.746103738064821,0.6836110951597906,0.00976589621825117,1.3470475567261835,0.003214205784476837,3.6245124733166136,0.18155448132687138,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.05862129991946818,0.9307229868470568,True,10,0.0,0.0
sac_svar_revealed_direct_inflation_gap_x1p30,pyfrbus,14.506429203275967,0.7221356990102356,0.010168756920349069,1.423293066822146,0.0032040867881347654,3.650893091291511,0.1910621073612718,sac_svar_revealed_direct,0.1952349032153061,0.088236386220544,0.0509750434082332,0.9307229868470568,True,10,0.0,0.0
sac_svar_revealed_direct_inflation_gap_x1p15,pyfrbus,14.641156905834816,0.7289162438950227,0.010243415020006405,1.4367031940982813,0.003212318258756532,3.65506386227057,0.1925019721230812,sac_svar_revealed_direct,0.1952349032153061,0.07805526473355814,0.0509750434082332,0.9307229868470568,True,10,0.0,0.0
sac_svar_revealed_direct,pyfrbus,14.777047075518759,0.7357558337360629,0.010318653380708741,1.4502302042084436,0.003220782511322441,3.659257475475483,0.19398314924413246,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.0509750434082332,0.9307229868470568,True,10,0.0,0.0
sac_svar_revealed_direct_inflation_gap_x0p85,pyfrbus,14.914108681887882,0.7426549272553865,0.01039447644690114,1.4638750039211732,0.003229488478989897,3.6634740345937247,0.19550584984663172,sac_svar_revealed_direct,0.1952349032153061,0.05769302175958645,0.0509750434082332,0.9307229868470568,True,10,0.0,0.0
sac_svar_revealed_direct_inflation_gap_x0p70,pyfrbus,15.052350751366394,0.7496139860971368,0.010470888695011922,1.477638505743671,0.0032384453028919302,3.6677136436766538,0.19707027070962913,sac_svar_revealed_direct,0.1952349032153061,0.04751190027260061,0.0509750434082332,0.9307229868470568,True,10,0.0,0.0
sac_svar_revealed_direct_output_gap_x0p85,pyfrbus,15.888710502247315,0.7920239373663436,0.010910106370874981,1.5615778912169702,0.0032488538698346573,3.6958762541476298,0.2106781340989275,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.04332878689699822,0.9307229868470568,True,10,0.0,0.0
sac_svar_revealed_direct_output_gap_x0p70,pyfrbus,17.087070707748435,0.8527223424546566,0.011543089381419467,1.6816969932507053,0.003307564478843709,3.734446302024001,0.2316958246497338,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.03568253038576324,0.9307229868470568,True,9,0.0,0.0
