loss_function,evaluation_env,policy_name,action_date,state_date,inflation,inflation_gap,output_gap,lagged_policy_rate,lagged_policy_rate_gap,policy_rate,policy_rate_gap,rate_change,loss,discounted_loss
artificial,ann,ppo_svar_direct_nonlinear,2007-01-01,2007-01-01,2.8511912215056414,0.8511912226676941,1.198042869567871,8.348280429840088,6.348280429840088,7.3557586669921875,5.3557586669921875,-0.9925217628479004,1.5406898011804038,0.7250280392627488
artificial,ann,ppo_svar_direct_nonlinear,,2007-04-01,3.137918804451781,1.1379188299179077,0.5923083424568176,7.3557586669921875,5.3557586669921875,,,,,
artificial,ann,ppo_ann_direct_nonlinear,1988-04-01,1988-04-01,3.297757893079778,1.297757863998413,0.927920937538147,6.663333333333334,4.663333415985107,6.7305731773376465,4.7305731773376465,0.06723984400431249,2.115146225281235,2.115146225281235
artificial,ann,ppo_ann_direct_nonlinear,1988-07-01,1988-07-01,3.8936281698062527,1.8936281204223633,1.3818624019622803,6.7305731773376465,4.7305731773376465,6.9079790115356445,4.9079790115356445,0.17740583419799805,4.543746590433562,4.498309124529227
artificial,ann,ppo_ann_direct_nonlinear,1988-10-01,1988-10-01,3.9644634080069205,1.9644633531570435,1.0170223712921143,6.9079790115356445,4.9079790115356445,6.889233589172363,4.889233589172363,-0.01874542236328125,4.37631865683729,4.289229915566228
artificial,ann,ppo_ann_direct_nonlinear,1989-01-01,1989-01-01,3.7305118500751524,1.7305119037628174,1.5591942071914673,6.889233589172363,4.889233589172363,6.905307769775391,4.905307769775391,0.016074180603027344,4.2102405748627305,4.085192219548732
artificial,ann,ppo_ann_direct_nonlinear,1989-04-01,1989-04-01,3.9003898183133034,1.9003897905349731,1.6768105030059814,6.905307769775391,4.905307769775391,6.921736717224121,4.921736717224121,0.01642894744873047,5.017355078496573,4.819651269157045
artificial,ann,ppo_ann_direct_nonlinear,1989-07-01,1989-07-01,4.081047810030219,2.081047773361206,1.5617318153381348,6.921736717224121,4.921736717224121,6.925822734832764,4.925822734832764,0.004086017608642578,5.550264636085297,5.278246443228961
artificial,ann,ppo_ann_direct_nonlinear,1989-10-01,1989-10-01,3.676473515598492,1.6764734983444214,1.357293725013733,6.925822734832764,4.925822734832764,6.886075019836426,4.886075019836426,-0.03974771499633789,3.731844506716753,3.51345752372499
artificial,ann,ppo_ann_direct_nonlinear,1990-01-01,1990-01-01,3.5973663927857396,1.597366452217102,1.0932838916778564,6.886075019836426,4.886075019836426,6.845410346984863,4.845410346984863,-0.0406646728515625,3.1493797781316033,2.9354277585954716
artificial,ann,ppo_ann_direct_nonlinear,1990-04-01,1990-04-01,3.670921079364365,1.6709210872650146,1.9316023588180542,6.845410346984863,4.845410346984863,6.917301177978516,4.917301177978516,0.07189083099365234,4.65803794532073,4.298179800488634
artificial,ann,ppo_ann_direct_nonlinear,1990-07-01,1990-07-01,3.69791384431024,1.6979138851165771,1.4667942523956299,6.917301177978516,4.917301177978516,6.89665412902832,4.89665412902832,-0.020647048950195312,3.9586968807651317,3.616337878138638
