equation,target,feature_set,stage_name,stage_priority,nobs,regressor_count,regressors,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,seed,train_mse,val_mse,test_mse,full_sample_mse,residual_std_full_sample,n_iter
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,adam,0.001,0.001,0,0.13306983345589973,0.2904064683082716,0.07046176088415974,0.14764345842215082,0.35924807134785053,1159
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",tanh,lbfgs,0.001,0.001,1,0.005745191949343431,0.3184555125448902,0.11513436929152548,0.07068357624745557,0.24538594406923753,2086
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",relu,adam,0.0001,0.001,1,0.0875457679323324,0.3500145010661186,1.281470660541387,0.31160632573892333,0.5010914011115117,676
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",relu,adam,0.001,0.001,1,0.0876933259392021,0.35009230167541,1.2837715609643927,0.3120744352871095,0.501357030859311,675
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,adam,0.001,0.001,1,0.12291984650873557,0.3591558293245451,0.18464051491102654,0.1687593313115202,0.3647142338257571,905
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,adam,0.0001,0.001,1,0.12290986373730053,0.35920009607483466,0.18469592666729548,0.16876775531692043,0.3647211420925163,905
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",relu,lbfgs,0.001,0.001,0,0.014181760015114477,0.3782871547530769,0.050359670243178146,0.07576380693296465,0.26597539702948164,244
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",relu,lbfgs,0.0001,0.001,0,0.015432560244995145,0.3985633905012762,0.05797054239148993,0.0809200698454222,0.27260441987853706,399
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",relu,adam,0.0001,0.001,0,0.15378933274550394,0.4523189396959196,2.776701875686339,0.6032419711903118,0.7194321978443142,924
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",relu,adam,0.001,0.001,0,0.15399764030845817,0.4525569952796216,2.7787457205196016,0.6037372457211208,0.7195904514251485,923
