case_id,case_group,evaluation_type,loss_function,environment,policy_name,rule_family,source_env,training_env,policy_parameterization,algo,source_file,result_metric,result_value,secondary_metric,secondary_value,comparison_metric,comparison_value,solver_status
case_0064,empirical_unified,historical_shock,revealed,ann,ppo_ann_direct_nonlinear,ann_direct,ann,ann,nonlinear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,284.8104863311163,mean_period_revealed_loss,5.206340342823108,,,
case_0065,empirical_unified,historical_shock,revealed,ann,sac_ann_direct,ann_direct,ann,ann,standard_nonlinear,sac,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,2907.208318379312,mean_period_revealed_loss,52.16946196943537,,,
case_0066,empirical_unified,historical_shock,revealed,ann,td3_ann_direct,ann_direct,ann,ann,standard_nonlinear,td3,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,2216.437632964421,mean_period_revealed_loss,40.47642669162481,,,
case_0067,empirical_unified,historical_shock,revealed,ann,ppo_ann_revealed_direct,ann_revealed_direct,ann,ann,linear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,484.7600767999906,mean_period_revealed_loss,9.039907820813497,,,
case_0068,empirical_unified,historical_shock,revealed,ann,ppo_ann_revealed_direct_nonlinear,ann_revealed_direct,ann,ann,nonlinear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,598.7210207317124,mean_period_revealed_loss,10.66566052889488,,,
case_0069,empirical_unified,historical_shock,revealed,ann,sac_ann_revealed_direct,ann_revealed_direct,ann,ann,standard_nonlinear,sac,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,207.6990487171229,mean_period_revealed_loss,3.8010447986284617,,,
case_0070,empirical_unified,historical_shock,revealed,ann,td3_ann_revealed_direct,ann_revealed_direct,ann,ann,standard_nonlinear,td3,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,186.23072070179452,mean_period_revealed_loss,3.3391428484478083,,,
case_0071,empirical_unified,historical_shock,revealed,ann,linear_policy_search_transfer,benchmark_transfer,benchmark,benchmark,fixed_rule,,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,835.3781984827833,mean_period_revealed_loss,15.414638400028815,,,
case_0072,empirical_unified,historical_shock,revealed,ann,ppo_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,574.5962546453437,mean_period_revealed_loss,10.353013346347506,,,
case_0073,empirical_unified,historical_shock,revealed,ann,sac_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,sac,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,1014.503607149291,mean_period_revealed_loss,18.68387548257209,,,
