policy_name,model_id,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,solver_status,improvement_vs_US_CPS10_baseline_pct,improvement_vs_US_CPS10_baseline_revealed_pct,improvement_vs_US_RA07_baseline_pct,improvement_vs_US_RA07_baseline_revealed_pct,improvement_vs_NK_CFP10_baseline_pct,improvement_vs_NK_CFP10_baseline_revealed_pct,improvement_vs_US_FRB03_baseline_pct,improvement_vs_US_FRB03_baseline_revealed_pct,improvement_vs_G7_TAY93_baseline_pct,improvement_vs_G7_TAY93_baseline_revealed_pct,improvement_vs_NK_GHP16_baseline_pct,improvement_vs_NK_GHP16_baseline_revealed_pct,improvement_vs_EA_SWW14_baseline_pct,improvement_vs_EA_SWW14_baseline_revealed_pct,improvement_vs_EA_SW03_baseline_pct,improvement_vs_EA_SW03_baseline_revealed_pct
sac_svar_direct,G7_TAY93,svar_direct,1.528632674699,0.572243175257,0.226215527375,16.9888361783942,0.159509630049506,3019.54163564607,27.8323638382293,0.0048188166014315,0.0325772642799163,1.38402181308116,0.0355475028407209,0.981560022953543,ok,,,,,,,,,16.10735652946112,-67.42510871079304,,,,,,
td3_svar_direct,G7_TAY93,svar_direct,1.59612453235,1.16730785948,-0.058737516184,19.1121098848807,0.17820378349584,3752.83090904125,34.9170313530152,0.0006270424485799,0.0075426214255031,1.73805430334508,0.0266263550955017,0.923844672202321,ok,,,,,,,,,5.62240969860187,-108.08394078825765,,,,,,
G7_TAY93_baseline,G7_TAY93,external_baseline,0.0,0.0,0.0,20.2506864435143,0.210251437020176,1803.51779903095,16.4314175865374,0.0294137618649996,0.2001107009756,0.80782324667377,0.053462636612477,1.06011022775655,ok,,,,,,,,,0.0,0.0,,,,,,
empirical_taylor_rule,G7_TAY93,empirical_rule,0.193172811483,0.265768574867,0.869199767248,5830.40277603899,52.8879460800618,8051.93949667817,73.5080813238457,52.3991722914395,0.774154186091202,1.01696695576679,3.14574125286456,5.89299741632005,ok,,,,,,,,,-28691.13649950516,-346.4574456101606,,,,,,
sac_svar_revealed_direct,G7_TAY93,svar_revealed_direct,0.067874143247,0.050975043408,0.930722986847,58863.102424226,544.581731441034,61027.1232446145,564.722470465937,544.47039025924,0.0212102402117823,1.00736061688359,13.5845801489961,17.0715049359409,ok,,,,,,,,,-290572.133946739,-3283.782698313543,,,,,,
NK_GHP16_baseline,NK_GHP16,external_baseline,0.0,0.0,0.0,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
empirical_taylor_rule,NK_GHP16,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
td3_benchmark_transfer,NK_GHP16,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_benchmark_transfer,NK_GHP16,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
td3_svar_direct,NK_GHP16,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_svar_direct,NK_GHP16,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_svar_revealed_direct,NK_GHP16,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
EA_SWW14_baseline,EA_SWW14,external_baseline,0.0,0.0,0.0,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
empirical_taylor_rule,EA_SWW14,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
td3_benchmark_transfer,EA_SWW14,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_benchmark_transfer,EA_SWW14,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
td3_svar_direct,EA_SWW14,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_svar_direct,EA_SWW14,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_svar_revealed_direct,EA_SWW14,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
EA_SW03_baseline,EA_SW03,external_baseline,0.0,0.0,0.0,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
empirical_taylor_rule,EA_SW03,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
td3_benchmark_transfer,EA_SW03,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_benchmark_transfer,EA_SW03,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
td3_svar_direct,EA_SW03,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_svar_direct,EA_SW03,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
sac_svar_revealed_direct,EA_SW03,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,inf,inf,inf,inf,,,,,,failed,,,,,,,,,,,,,,,,
