rank,policy_name,model_id,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,converged,iterations,max_fixed_point_gap,clip_rate,start,end,intercept,inflation_coeff,output_coeff,lagged_rate_coeff,policy_parameterization,revealed_improvement_vs_baseline_pct
22,fine_33,pyfrbus,0.013063987560391073,0.0006065349026737752,0.017821733029176764,0.0008149140663839264,0.00043888173095631887,0.0003344987926845423,4.0377537518512395e-06,3.010030215351133,1.980974776764429e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,0.002,0.0,0.01,linear_rule,3.964913306644296
23,fine_25,pyfrbus,0.013077267176928104,0.0006072012001715198,0.017835546188222147,0.0008156797175697938,0.00043894117455143194,0.0003357161564305647,4.019474048054296e-06,3.0100646246489653,4.7107062628827974e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,0.0,-0.002,0.01,linear_rule,3.8904790232746227
24,fine_35,pyfrbus,0.013063033351096355,0.0006065272996279361,0.017841909615399117,0.0008157968547625587,0.00043903336593386987,0.000334170150904227,4.088582419528053e-06,3.010037851852793,3.6929140428989704e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,0.002,0.002,0.01,linear_rule,3.856188739630116
25,fine_27,pyfrbus,0.013076358198822587,0.0006071959499111639,0.017855712370640615,0.0008165627242013246,0.00043909333122571086,0.00033539121231320173,4.07012528852176e-06,3.010072325394738,2.0341253613043696e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,0.0,0.0,0.01,linear_rule,3.781810518721166
26,const_1p00_lag0p01,pyfrbus,0.013076358198822587,0.0006071959499111639,0.017855712370640615,0.0008165627242013246,0.00043909333122571086,0.00033539121231320173,4.07012528852176e-06,3.010072325394738,2.0341253613043696e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,0.0,0.0,0.01,linear_rule,3.781810518721166
27,fine_19,pyfrbus,0.013089756679260886,0.0006078683527820432,0.017869692791408747,0.0008173373149700181,0.00043915331310853006,0.0003366197244531215,4.051774469522552e-06,3.0101068872205103,4.861961339840007e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,-0.002,-0.002,0.01,linear_rule,3.7064749204222167
28,fine_29,pyfrbus,0.013075428398448694,0.0006071893300942682,0.017876034254872872,0.000817451553814432,0.00043924455752419146,0.00033506531421281273,4.121154636704014e-06,3.010079829264368,3.5759263579861104e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,0.0,0.002,0.01,linear_rule,3.6723029915451013
29,fine_21,pyfrbus,0.013088872200927144,0.000607864089271847,0.017890004362323596,0.0008182263658546139,0.00043930505980533914,0.00033629753369692774,4.102626180439492e-06,3.0101144547340475,2.09786253877148e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,-0.002,0.0,0.01,linear_rule,3.5970229681069013
30,fine_23,pyfrbus,0.013087966112716126,0.0006078584177476128,0.017910470312818894,0.000819121174976178,0.0004394558769274532,0.0003359743104034978,4.1538561841070925e-06,3.010121825898113,3.460253664036123e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,-0.002,0.002,0.01,linear_rule,3.4867391182220375
31,fine_22,pyfrbus,0.014120341878951462,0.0006462673233251096,0.01852357918381511,0.0008421137583305873,0.00038973133270201534,0.0005130719785590225,1.3435829900794346e-11,3.000064432246916,1.9605343885107127e-05,True,1,0.0,0.0,2040Q1,2045Q4,1.0,-0.002,0.002,0.0,linear_rule,0.18290982832121172
32,fine_28,pyfrbus,0.014134285601797964,0.0006469205149799536,0.018550231457632065,0.0008433661927974735,0.00038960035070408273,0.0005146403199929728,4.27938442274989e-11,3.0000368001155286,1.9605385652558952e-05,True,1,0.0,0.0,2040Q1,2045Q4,1.0,0.0,0.002,0.0,linear_rule,0.039290045531521836
33,fine_20,pyfrbus,0.014139829920598935,0.0006471725364315948,0.018560713016467355,0.0008438440053595317,0.0003895574979770479,0.0005152300615536164,7.67773872332819e-11,3.000035321056439,7.1524957737460975e-06,True,1,0.0,0.0,2040Q1,2045Q4,1.0,-0.002,0.0,0.0,linear_rule,-0.017191409430274494
34,fine_34,pyfrbus,0.014148290263302865,0.0006475767113798843,0.01857702112732812,0.0008446251693748679,0.00038946939923400234,0.0005162145971358995,1.3577932295218852e-10,3.0000091679841403,1.9605427419916313e-05,True,1,0.0,0.0,2040Q1,2045Q4,1.0,0.002,0.002,0.0,linear_rule,-0.10507011560067718
35,const_1p00,pyfrbus,0.014153848626451051,0.0006478293965879158,0.018587544617851916,0.0008451048667368859,0.0003894265547252816,0.0005168056425339393,2.0595664379206815e-10,3.000007688925051,7.15253998145223e-06,True,1,0.0,0.0,2040Q1,2045Q4,1.0,0.0,0.0,0.0,linear_rule,-0.16177752576752338
36,fine_26,pyfrbus,0.014153848626451051,0.0006478293965879158,0.018587544617851916,0.0008451048667368859,0.0003894265547252816,0.0005168056425339393,2.0595664379206815e-10,3.000007688925051,7.15253998145223e-06,True,1,0.0,0.0,2040Q1,2045Q4,1.0,0.0,0.0,0.0,linear_rule,-0.16177752576752338
37,fine_18,pyfrbus,0.014165871231243982,0.0006483781336544834,0.018610408313942266,0.0008461511602334849,0.00038933091632406823,0.0005180943369766155,4.884210748121499e-10,3.000000295989409,1.5040437622025438e-05,True,2,0.0,0.0,2040Q1,2045Q4,1.0,-0.002,-0.002,0.0,linear_rule,-0.28498198812663245
38,fine_32,pyfrbus,0.014176927528903831,0.0006489064971224805,0.01863173413521095,0.0008471727321930998,0.00038921683207097805,0.0005193792048195594,6.264172265956769e-10,2.999966394231682,2.141030742326447e-06,True,2,0.0,0.0,2040Q1,2045Q4,1.0,0.002,0.0,0.0,linear_rule,-0.3998993808960209
39,fine_24,pyfrbus,0.014184248425282283,0.0006492395079151724,0.0186456594770772,0.0008478076304300076,0.00038916056929574937,0.0005201577046807685,8.627903879131175e-10,2.999964312946666,1.5009492282175339e-05,True,2,0.0,0.0,2040Q1,2045Q4,1.0,0.0,-0.002,0.0,linear_rule,-0.4749381782548639
