seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
29,2,-135.46092871390232,0.0,2.137969660827366,-55.83350787842962,42.06374071054699,0.0
29,3,-136.85089951495468,0.0,2.0144496962784615,-55.899604291672354,42.334550192324286,0.0
29,4,-140.80541065966088,0.0,1.9809991725833243,-52.51224652445288,39.64573346369682,0.0
29,5,-151.32883075339566,0.0,2.0979635431249335,-52.80898080138504,39.76059370992758,0.0
29,6,-142.37726513604704,0.0,2.1220124907754325,-49.794097012637586,37.28016811111157,0.0
29,7,-142.37660341957118,0.0,2.1171942779492383,-45.47082183246095,34.02920610199275,0.0
29,8,-125.66841310210998,0.0,2.1134128606654485,-43.654172932293164,32.50679846229803,0.0
29,9,-146.72521293354808,0.0,2.2243730062436953,-46.63833185820636,34.92900292862685,0.0
29,10,-125.76207765945729,0.0,2.0778226735365024,-45.054083337145705,34.11664950226915,0.0
29,11,-127.5226412342326,0.0,2.0741899285167165,-47.69943315459375,35.92393035304139,0.0
29,12,-110.01132019545089,0.0,2.066440339345718,-46.65032257689737,35.36320816810144,0.0
29,13,-123.84792082479069,0.0,1.9904913989157649,-44.93852491590001,33.55608115568753,0.0
29,14,-140.6361488482038,0.0,2.0189689912258473,-47.22537179686244,35.95550456114787,0.0
