env_id,group,tier,algo,mean_discounted_loss,std_discounted_loss,median_discounted_loss,mean_reward,mean_clip_rate,mean_explosion_rate,best_loss_in_env,loss_gap_vs_best_rl_pct
nonlinear_strong,nonlinear,strong,sac,16.57784580992198,0.1688368460067323,16.480809971705657,-21.143641670074054,0.0,0.0,16.57784580992198,0.0
nonlinear_strong,nonlinear,strong,td3,17.67377916902911,0.9662178263344068,18.071682776627966,-22.59943057237125,0.0,0.0,16.57784580992198,6.610830934687587
nonlinear_very_strong,nonlinear,very_strong,ppo,379.6024392319807,26.985162904327296,368.10345075463374,-489.53820383675287,0.0,0.3125,31.032871726175642,1123.2269142909943
nonlinear_very_strong,nonlinear,very_strong,sac,31.032871726175642,4.356090016906913,30.302812425111046,-38.79029624727985,0.0,0.0,31.032871726175642,0.0
nonlinear_very_strong,nonlinear,very_strong,td3,37.10749072948989,7.60822947337199,40.230965761348756,-46.73020043088613,0.0,0.0,31.032871726175642,19.57478849174767
nonlinear_extreme,nonlinear,extreme,ppo,915.8978585393564,12.14502303751595,915.5947699832552,-1009.3476124304888,0.0,1.0,429.43034652817454,113.28205282745782
nonlinear_extreme,nonlinear,extreme,sac,483.2490033797182,91.05846096526507,527.4507105756171,-531.7173175444854,0.0,0.5,429.43034652817454,12.532569550953399
nonlinear_extreme,nonlinear,extreme,td3,429.43034652817454,94.95396614442467,450.5794464080334,-462.2529268598127,0.0,0.4583333333333333,429.43034652817454,0.0
zlb_mild,zlb,mild,ppo,36.12408337261204,3.314272780913998,36.07871285368097,-47.44348547904792,0.0,0.0,18.677171991428438,93.41302521168926
zlb_mild,zlb,mild,sac,18.677171991428438,1.09859003965524,19.106686229511467,-23.942060729898788,0.0,0.0,18.677171991428438,0.0
zlb_mild,zlb,mild,td3,19.58900552484534,0.4826217219858113,19.678142280729105,-25.117809643554622,0.0,0.0,18.677171991428438,4.882074940656846
zlb_medium,zlb,medium,ppo,76.50044927794215,1.9358381396763087,76.01323571951045,-101.88334025987312,0.0,0.0,22.241942182812988,243.9468039668601
zlb_medium,zlb,medium,sac,25.691924684281428,1.4216055221595552,25.3635257678617,-32.88895747304837,0.0,0.0,22.241942182812988,15.511156683674615
zlb_medium,zlb,medium,td3,22.241942182812988,2.141171095454081,21.740615558042755,-28.029425788339555,0.0,0.0,22.241942182812988,0.0
zlb_strong,zlb,strong,ppo,122.1934952882231,6.293045134420619,125.58690936629932,-163.24749969081822,0.0,0.0,30.03939365331385,306.7775025636814
zlb_strong,zlb,strong,sac,31.575949706529283,1.7782156179711526,30.78602190260161,-39.70649116137306,0.0,0.0,30.03939365331385,5.115136713306872
zlb_strong,zlb,strong,td3,30.03939365331385,3.35973914794212,31.797014136177257,-37.67308975155489,0.0,0.0,30.03939365331385,0.0
zlb_very_strong,zlb,very_strong,ppo,143.16558840583178,16.341046453672377,150.05165696320057,-185.33638113265542,0.0,0.0,58.663145505869004,144.04690060731343
zlb_very_strong,zlb,very_strong,sac,59.18469342729312,3.6739556597693412,61.17302968115007,-71.18938051507006,0.0,0.0,58.663145505869004,0.889055499712229
zlb_very_strong,zlb,very_strong,td3,58.663145505869004,3.9189899597073965,60.27909346991396,-70.36387766876993,0.0,0.0,58.663145505869004,0.0
zlb_extreme,zlb,extreme,ppo,190.01692461637103,22.167295758766265,200.34999597022755,-241.7886973055291,0.0,0.0,93.52647888729234,103.16912052827112
zlb_extreme,zlb,extreme,sac,93.74603565753141,3.9102967862955538,95.30282725541568,-110.69092963771148,0.0,0.0,93.52647888729234,0.23475359368938872
zlb_extreme,zlb,extreme,td3,93.52647888729234,5.521597171272739,96.09807724072468,-110.44787298390112,0.0,0.0,93.52647888729234,0.0
