algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,env_id,group,tier,step
sac,29,,,,,-35.529229320019134,28.35706162814229,0.0,asymmetric_strong,asymmetric,strong,3000.0
sac,29,,,,,-33.527555065583144,26.48230437335192,0.0,asymmetric_strong,asymmetric,strong,6000.0
sac,29,,,,,-33.65787678179038,26.560994939326903,0.0,asymmetric_strong,asymmetric,strong,9000.0
sac,43,,,,,-37.47173145340952,29.831564440396598,0.0,asymmetric_strong,asymmetric,strong,3000.0
sac,43,,,,,-36.178540613129805,28.51947952532041,0.0,asymmetric_strong,asymmetric,strong,6000.0
sac,43,,,,,-34.84229541397228,27.411079196425355,0.0,asymmetric_strong,asymmetric,strong,9000.0
sac,7,,,,,-35.9237728481646,28.69296947166615,0.0,asymmetric_strong,asymmetric,strong,3000.0
sac,7,,,,,-34.37785101562967,27.151821844762647,0.0,asymmetric_strong,asymmetric,strong,6000.0
sac,7,,,,,-33.97560767034888,26.85635655763269,0.0,asymmetric_strong,asymmetric,strong,9000.0
td3,29,,,,,-33.2834853032235,26.283926472879003,0.0,asymmetric_strong,asymmetric,strong,3000.0
td3,29,,,,,-34.57856023459208,27.057419159688422,0.0,asymmetric_strong,asymmetric,strong,6000.0
td3,29,,,,,-35.93917269505687,28.096530062582797,0.0,asymmetric_strong,asymmetric,strong,9000.0
td3,43,,,,,-35.33525028193047,27.925041961349763,0.0,asymmetric_strong,asymmetric,strong,3000.0
td3,43,,,,,-42.09512905146228,32.7319777956569,0.0,asymmetric_strong,asymmetric,strong,6000.0
td3,43,,,,,-35.70297682681789,28.064051028270093,0.0,asymmetric_strong,asymmetric,strong,9000.0
td3,7,,,,,-36.475032882149335,28.786412759906842,0.0,asymmetric_strong,asymmetric,strong,3000.0
td3,7,,,,,-36.05391737754717,28.288349089867065,0.0,asymmetric_strong,asymmetric,strong,6000.0
td3,7,,,,,-35.18072096330765,27.653173838146884,0.0,asymmetric_strong,asymmetric,strong,9000.0
ppo,29,0.0,-152.00321592570643,0.0,2.0904731684859144,-55.392013486557815,42.218013905700445,0.0,benchmark,benchmark,baseline,
ppo,29,20.0,-131.09646806486194,0.0,2.016723901973819,-50.24396104118545,39.27868270540414,0.0,benchmark,benchmark,baseline,
ppo,29,40.0,-126.96059350112509,0.0,2.0048041738750726,-37.670914645945366,29.072551321814355,0.0,benchmark,benchmark,baseline,
ppo,29,60.0,-107.77496104870505,0.0,1.8337430886822403,-33.061163501203126,25.67192772071445,0.0,benchmark,benchmark,baseline,
ppo,29,80.0,-97.50568994950711,0.0,1.854549252318975,-34.84073240356373,26.8880067885947,0.0,benchmark,benchmark,baseline,
ppo,29,100.0,-85.83964703943212,0.0,1.841704790042968,-25.87532224080777,20.08799544235491,0.0,benchmark,benchmark,baseline,
ppo,29,119.0,-73.27607965937483,0.0,1.7115404535411471,-26.889039339763492,20.93175635868419,0.0,benchmark,benchmark,baseline,
ppo,43,0.0,-145.82099058873524,0.0,1.9623257359016861,-55.65269801182161,42.404493170743095,0.0,benchmark,benchmark,baseline,
ppo,43,20.0,-125.90097385746671,0.0,1.9933999220920668,-51.696333451563845,40.33047544762669,0.0,benchmark,benchmark,baseline,
ppo,43,40.0,-149.29656287595168,0.0,1.9841625364533684,-37.70734946801132,29.099973300519817,0.0,benchmark,benchmark,baseline,
ppo,43,60.0,-113.19934771096484,0.0,1.8511167481110533,-31.8560604039938,24.762464189874656,0.0,benchmark,benchmark,baseline,
ppo,43,80.0,-105.1135235506178,0.0,1.8091786486820638,-32.557890643632746,25.255884571506854,0.0,benchmark,benchmark,baseline,
ppo,43,100.0,-88.92996830536805,0.0,1.713541073709166,-26.02180408980332,20.191581493804343,0.0,benchmark,benchmark,baseline,
ppo,43,119.0,-84.48487714599118,0.0,1.7790504135973606,-27.438811427526296,21.333952031552077,0.0,benchmark,benchmark,baseline,
ppo,7,0.0,-170.02331591900165,0.0,2.1677560474633992,-55.21587200805439,42.08751742463441,0.0,benchmark,benchmark,baseline,
ppo,7,20.0,-119.24841194366851,0.0,2.0161577890339686,-49.0597838522272,38.399691081009195,0.0,benchmark,benchmark,baseline,
ppo,7,40.0,-125.94402529403536,0.0,1.8938062128618185,-36.743475032984705,28.385370704920796,0.0,benchmark,benchmark,baseline,
ppo,7,60.0,-123.64853153034267,0.0,1.9597029960496002,-32.55735553802754,25.286093439817034,0.0,benchmark,benchmark,baseline,
ppo,7,80.0,-113.883066715859,0.0,1.8832950579499084,-31.628332465743846,24.691914432738827,0.0,benchmark,benchmark,baseline,
ppo,7,100.0,-82.23245807950909,0.0,1.7122300059381814,-26.96049063163428,20.871439186002107,0.0,benchmark,benchmark,baseline,
ppo,7,119.0,-69.15928056823208,0.0,1.6986995221145662,-26.79062937314064,20.845744295883506,0.0,benchmark,benchmark,baseline,
sac,29,,,,,-19.503223792336033,15.530099096729483,0.0,benchmark,benchmark,baseline,3000.0
sac,29,,,,,-20.991872352899232,16.6725515611067,0.0,benchmark,benchmark,baseline,6000.0
sac,29,,,,,-20.322307730962763,16.283671397983323,0.0,benchmark,benchmark,baseline,9000.0
sac,43,,,,,-19.609042613747597,15.626118364116127,0.0,benchmark,benchmark,baseline,3000.0
sac,43,,,,,-20.39022873018631,16.207272643797495,0.0,benchmark,benchmark,baseline,6000.0
sac,43,,,,,-20.59605012846653,16.459739519463923,0.0,benchmark,benchmark,baseline,9000.0
sac,7,,,,,-20.354321552942494,16.19749635601903,0.0,benchmark,benchmark,baseline,3000.0
sac,7,,,,,-21.35400432183087,16.978261720447385,0.0,benchmark,benchmark,baseline,6000.0
sac,7,,,,,-20.24065502448664,16.218566849558353,0.0,benchmark,benchmark,baseline,9000.0
td3,29,,,,,-19.71582679701802,15.757842510247436,0.0,benchmark,benchmark,baseline,3000.0
td3,29,,,,,-21.544368564621386,17.09938816305013,0.0,benchmark,benchmark,baseline,6000.0
td3,29,,,,,-20.74332308725485,16.40685940659786,0.0,benchmark,benchmark,baseline,9000.0
td3,43,,,,,-21.19619047949554,16.905450050458516,0.0,benchmark,benchmark,baseline,3000.0
td3,43,,,,,-22.37931670214818,17.727583589093225,0.0,benchmark,benchmark,baseline,6000.0
td3,43,,,,,-22.28466103495546,17.59491201056351,0.0,benchmark,benchmark,baseline,9000.0
td3,7,,,,,-22.398174499861966,17.822117547860863,0.0,benchmark,benchmark,baseline,3000.0
td3,7,,,,,-22.94101491768645,18.130100655857806,0.0,benchmark,benchmark,baseline,6000.0
td3,7,,,,,-21.367583451645498,16.875106781601566,0.0,benchmark,benchmark,baseline,9000.0
ppo,29,0.0,-119.31848535898528,0.0,1.7420609677055836,-54.424398817344084,40.67027261244605,0.0,nonlinear_medium,nonlinear,medium,
ppo,29,20.0,-103.48608548095626,0.0,1.6846170271455776,-49.490502068488894,37.924417746168146,0.0,nonlinear_medium,nonlinear,medium,
ppo,29,40.0,-103.14274580563463,0.0,1.6755976865970297,-36.8154156540791,27.850999962903607,0.0,nonlinear_medium,nonlinear,medium,
ppo,29,60.0,-85.99895655336394,0.0,1.5276644095738448,-31.497155615092183,23.98592203000255,0.0,nonlinear_medium,nonlinear,medium,
ppo,29,80.0,-79.86445194579403,0.0,1.5572071928163496,-35.41619834278251,26.78266532631187,0.0,nonlinear_medium,nonlinear,medium,
ppo,29,100.0,-70.51322569945967,0.0,1.5645261626978026,-28.153752119370072,21.185956944491004,0.0,nonlinear_medium,nonlinear,medium,
ppo,29,119.0,-60.92223710191287,0.0,1.441151667979284,-29.256224873089227,22.001291151462013,0.0,nonlinear_medium,nonlinear,medium,
ppo,43,0.0,-117.5197183707572,0.0,1.635271443381498,-54.67683145424554,40.84899990527613,0.0,nonlinear_medium,nonlinear,medium,
ppo,43,20.0,-100.4685502186064,0.0,1.66292294613595,-50.918594171921455,38.95804258500834,0.0,nonlinear_medium,nonlinear,medium,
ppo,43,40.0,-123.80032229585423,0.0,1.6567902337274063,-37.04738521557303,28.044072335972324,0.0,nonlinear_medium,nonlinear,medium,
ppo,43,60.0,-89.77566161327664,0.0,1.5448762850983258,-30.695960088988905,23.38972164161418,0.0,nonlinear_medium,nonlinear,medium,
ppo,43,80.0,-85.19037219159742,0.0,1.5144314424414915,-31.665137522470438,24.072844340402348,0.0,nonlinear_medium,nonlinear,medium,
ppo,43,100.0,-71.44838694632682,0.0,1.43337134938065,-26.012423372371263,19.666750215738915,0.0,nonlinear_medium,nonlinear,medium,
ppo,43,119.0,-66.76258947537265,0.0,1.485940555511661,-26.935859430849387,20.3602872954988,0.0,nonlinear_medium,nonlinear,medium,
ppo,7,0.0,-132.51859962876887,0.0,1.8064633678155815,-54.29982343364818,40.57991816546496,0.0,nonlinear_medium,nonlinear,medium,
ppo,7,20.0,-92.40481998615972,0.0,1.681450344804034,-48.39525613217959,37.12395142986801,0.0,nonlinear_medium,nonlinear,medium,
ppo,7,40.0,-104.49930717181752,0.0,1.5819523591244433,-36.05612970602532,27.30748868123691,0.0,nonlinear_medium,nonlinear,medium,
ppo,7,60.0,-97.5507777207387,0.0,1.6326183973214938,-31.590659445813106,24.05188667374925,0.0,nonlinear_medium,nonlinear,medium,
ppo,7,80.0,-92.36382796845919,0.0,1.569737828921916,-31.671102740639455,24.202803388475225,0.0,nonlinear_medium,nonlinear,medium,
ppo,7,100.0,-67.23158152362593,0.0,1.4402935925222664,-28.039987111175634,21.1399710167584,0.0,nonlinear_medium,nonlinear,medium,
ppo,7,119.0,-57.99760455013258,0.0,1.4397966934229771,-28.27835002652796,21.326945653495287,0.0,nonlinear_medium,nonlinear,medium,
sac,29,,,,,-17.883361529120656,13.925095026409148,0.0,nonlinear_medium,nonlinear,medium,3000.0
sac,29,,,,,-21.54445281087601,16.60740466227491,0.0,nonlinear_medium,nonlinear,medium,6000.0
sac,29,,,,,-18.71604156685318,14.590433115341071,0.0,nonlinear_medium,nonlinear,medium,9000.0
sac,43,,,,,-18.700993952940905,14.553025602854364,0.0,nonlinear_medium,nonlinear,medium,3000.0
sac,43,,,,,-19.047554393391025,14.767396239574495,0.0,nonlinear_medium,nonlinear,medium,6000.0
sac,43,,,,,-18.732291204243502,14.597358835605945,0.0,nonlinear_medium,nonlinear,medium,9000.0
sac,7,,,,,-18.382131963189266,14.342226958386354,0.0,nonlinear_medium,nonlinear,medium,3000.0
sac,7,,,,,-18.71732995914192,14.532380771487333,0.0,nonlinear_medium,nonlinear,medium,6000.0
sac,7,,,,,-18.40729387764416,14.344253646490003,0.0,nonlinear_medium,nonlinear,medium,9000.0
td3,29,,,,,-18.05854475986785,14.109627060221507,0.0,nonlinear_medium,nonlinear,medium,3000.0
td3,29,,,,,-19.224270693418337,14.894077678810278,0.0,nonlinear_medium,nonlinear,medium,6000.0
td3,29,,,,,-18.60238427870987,14.306666256314394,0.0,nonlinear_medium,nonlinear,medium,9000.0
td3,43,,,,,-19.89420287861497,15.528181033538557,0.0,nonlinear_medium,nonlinear,medium,3000.0
td3,43,,,,,-20.31912702045834,15.698829501872131,0.0,nonlinear_medium,nonlinear,medium,6000.0
td3,43,,,,,-19.57018091923113,15.012788000748255,0.0,nonlinear_medium,nonlinear,medium,9000.0
td3,7,,,,,-22.109989500609473,17.18632307727563,0.0,nonlinear_medium,nonlinear,medium,3000.0
td3,7,,,,,-20.82522503973854,16.12833449958577,0.0,nonlinear_medium,nonlinear,medium,6000.0
td3,7,,,,,-19.665347976218733,15.156032457649797,0.0,nonlinear_medium,nonlinear,medium,9000.0
ppo,29,0.0,-115.31937541354183,0.0,1.7420609677055836,-51.625122749550684,38.3463927867508,0.0,nonlinear_mild,nonlinear,mild,
ppo,29,20.0,-102.22770823729905,0.0,1.6833773395298977,-46.76439981438404,35.5652279860551,0.0,nonlinear_mild,nonlinear,mild,
ppo,29,40.0,-100.76065936598599,0.0,1.6745248156985326,-35.18687895655703,26.408395335455257,0.0,nonlinear_mild,nonlinear,mild,
ppo,29,60.0,-83.72355609371803,0.0,1.5254650164442864,-30.372982401408496,22.924846281126904,0.0,nonlinear_mild,nonlinear,mild,
ppo,29,80.0,-78.31884654979991,0.0,1.5568462741130134,-34.46532091716093,25.82456882070577,0.0,nonlinear_mild,nonlinear,mild,
ppo,29,100.0,-68.70808691256359,0.0,1.5573780917129625,-27.42301801592355,20.434501242501177,0.0,nonlinear_mild,nonlinear,mild,
ppo,29,119.0,-60.6263103353405,0.0,1.4332182390535309,-28.74217719195772,21.36918093014448,0.0,nonlinear_mild,nonlinear,mild,
ppo,43,0.0,-114.22469117218066,0.0,1.635271443381498,-51.83222935281158,38.492750554924626,0.0,nonlinear_mild,nonlinear,mild,
ppo,43,20.0,-99.57967132051408,0.0,1.66174605281185,-48.19799679770017,36.60419260950529,0.0,nonlinear_mild,nonlinear,mild,
ppo,43,40.0,-120.32129499477261,0.0,1.6548365953021857,-35.396818628708715,26.588545790315848,0.0,nonlinear_mild,nonlinear,mild,
ppo,43,60.0,-87.19115802039109,0.0,1.5402264083604678,-29.480453143878265,22.26707395482389,0.0,nonlinear_mild,nonlinear,mild,
ppo,43,80.0,-83.19985654787551,0.0,1.5152006025668925,-30.647869392185186,23.082232735958435,0.0,nonlinear_mild,nonlinear,mild,
ppo,43,100.0,-70.78289261657744,0.0,1.4399511969286323,-25.142596061891833,18.819753362930484,0.0,nonlinear_mild,nonlinear,mild,
ppo,43,119.0,-66.81215337085814,0.0,1.4944960880361577,-25.906727966313806,19.373724724917516,0.0,nonlinear_mild,nonlinear,mild,
ppo,7,0.0,-128.17188974249123,0.0,1.8064633678155815,-51.50409876750123,38.25858530419395,0.0,nonlinear_mild,nonlinear,mild,
ppo,7,20.0,-90.68790799910951,0.0,1.6816389707282724,-45.867229566106076,34.91137945407857,0.0,nonlinear_mild,nonlinear,mild,
ppo,7,40.0,-101.39411502888004,0.0,1.5804984617425362,-34.55553300877702,25.962615209947693,0.0,nonlinear_mild,nonlinear,mild,
ppo,7,60.0,-95.67505852135938,0.0,1.630599838926173,-30.50823547820456,23.022265432716495,0.0,nonlinear_mild,nonlinear,mild,
ppo,7,80.0,-90.16053928846698,0.0,1.5646414287302832,-30.645006956425735,23.2080792865677,0.0,nonlinear_mild,nonlinear,mild,
ppo,7,100.0,-65.11801547527031,0.0,1.4309803176911373,-27.008800110579188,20.172202845477905,0.0,nonlinear_mild,nonlinear,mild,
ppo,7,119.0,-57.04309234729752,0.0,1.4277058762177148,-27.017417568688277,20.17472800817441,0.0,nonlinear_mild,nonlinear,mild,
sac,29,,,,,-17.27545873837822,13.310812303432417,0.0,nonlinear_mild,nonlinear,mild,3000.0
sac,29,,,,,-18.897050798200347,14.474355414563476,0.0,nonlinear_mild,nonlinear,mild,6000.0
sac,29,,,,,-17.641298786160032,13.601769256292354,0.0,nonlinear_mild,nonlinear,mild,9000.0
sac,43,,,,,-18.200239516344492,14.002210295507709,0.0,nonlinear_mild,nonlinear,mild,3000.0
sac,43,,,,,-18.241335421358464,13.994668095816953,0.0,nonlinear_mild,nonlinear,mild,6000.0
sac,43,,,,,-18.007261043772722,13.854782659758651,0.0,nonlinear_mild,nonlinear,mild,9000.0
sac,7,,,,,-17.618935398546107,13.612151132074855,0.0,nonlinear_mild,nonlinear,mild,3000.0
sac,7,,,,,-18.266282364838077,14.014722978499346,0.0,nonlinear_mild,nonlinear,mild,6000.0
sac,7,,,,,-17.63353435347842,13.591952633743627,0.0,nonlinear_mild,nonlinear,mild,9000.0
td3,29,,,,,-17.36134465597626,13.41847612359785,0.0,nonlinear_mild,nonlinear,mild,3000.0
td3,29,,,,,-18.839942660211594,14.432818244206604,0.0,nonlinear_mild,nonlinear,mild,6000.0
td3,29,,,,,-18.521531573188277,14.037898189207793,0.0,nonlinear_mild,nonlinear,mild,9000.0
td3,43,,,,,-18.835190767234074,14.589812426142007,0.0,nonlinear_mild,nonlinear,mild,3000.0
td3,43,,,,,-18.848715520812334,14.420924405072856,0.0,nonlinear_mild,nonlinear,mild,6000.0
td3,43,,,,,-17.96730507859276,13.60068908918728,0.0,nonlinear_mild,nonlinear,mild,9000.0
td3,7,,,,,-20.012302438754833,15.44221150808771,0.0,nonlinear_mild,nonlinear,mild,3000.0
td3,7,,,,,-19.85709665886187,15.218587934606994,0.0,nonlinear_mild,nonlinear,mild,6000.0
td3,7,,,,,-17.74046515056535,13.499062250310189,0.0,nonlinear_mild,nonlinear,mild,9000.0
ppo,29,0.0,-101.27960799125592,0.0,1.393648775962447,-63.800973618380254,47.8001653706302,0.0,nonlinear_strong,nonlinear,strong,
ppo,29,20.0,-84.67643546668876,0.0,1.3542945472281644,-60.00487404714539,46.1163537672946,0.0,nonlinear_strong,nonlinear,strong,
ppo,29,40.0,-91.3359461366442,0.0,1.3517241510658096,-43.34949971849139,33.00246748423966,0.0,nonlinear_strong,nonlinear,strong,
ppo,29,60.0,-75.34948094698089,0.0,1.2276004627810835,-35.761453445205156,27.485669834463167,0.0,nonlinear_strong,nonlinear,strong,
ppo,29,80.0,-69.99660678958978,0.0,1.2511901965870038,-38.56028499402793,29.547750148579713,0.0,nonlinear_strong,nonlinear,strong,
ppo,29,100.0,-60.52851883152777,0.0,1.2639084637048654,-33.020672418995524,24.995082038906677,0.0,nonlinear_strong,nonlinear,strong,
ppo,29,119.0,-51.85290820660526,0.0,1.1735337463339874,-35.8969382969505,27.0647045186954,0.0,nonlinear_strong,nonlinear,strong,
ppo,43,0.0,-104.80632314930601,0.0,1.3082171555797686,-64.05288987367595,47.97697583190923,0.0,nonlinear_strong,nonlinear,strong,
ppo,43,20.0,-81.12739093751705,0.0,1.3362527043154842,-61.152921065045845,46.93347301304562,0.0,nonlinear_strong,nonlinear,strong,
ppo,43,40.0,-109.48240833921375,0.0,1.335773962447547,-43.81834943248928,33.357746259745035,0.0,nonlinear_strong,nonlinear,strong,
ppo,43,60.0,-79.29583729995856,0.0,1.2451923192484173,-35.130070166802454,27.009722789123465,0.0,nonlinear_strong,nonlinear,strong,
ppo,43,80.0,-82.70478575540706,0.0,1.2507339254634644,-37.4014244476538,28.747591169209652,0.0,nonlinear_strong,nonlinear,strong,
ppo,43,100.0,-67.03966135788752,0.0,1.2050568161062074,-32.41494847281997,24.58594369302034,0.0,nonlinear_strong,nonlinear,strong,
ppo,43,119.0,-61.9316437763404,0.0,1.2384210479067406,-35.02497702357141,26.46329413395276,0.0,nonlinear_strong,nonlinear,strong,
ppo,7,0.0,-110.20857287959173,0.0,1.4451706964184723,-63.679082367897436,47.71237897322494,0.0,nonlinear_strong,nonlinear,strong,
ppo,7,20.0,-74.90910527584496,0.0,1.3492701789014063,-58.00885574308522,44.67172907127239,0.0,nonlinear_strong,nonlinear,strong,
ppo,7,40.0,-94.36132218575514,0.0,1.2712352869784809,-42.126351051834995,32.115786406985265,0.0,nonlinear_strong,nonlinear,strong,
